State,Coal,,Petroleum,,,,,,,,Biomass,,,Solar j,,,,"Total k,l"
Minnesota,19.7,446.9,172.2,45.5,20.3,313.7,0.1,72.3,624.1,0.8,60.5,63.2,1.1,1,234.5,"1,452.10",461.8,"1,913.90"
Mississippi,0,213.9,125.4,10,90.4,200.4,1.3,55.5,483.1,0,51.6,2.9,1,0.1,171.9,924.5,268.2,"1,192.70"
Missouri,19.1,264.9,188.5,26.3,18.9,380.2,(s),25.9,639.8,0,26.8,13.8,0.4,2.2,280,"1,246.90",600.9,"1,847.80"
Montana,4.4,85.4,53,9.6,7.1,64.6,0,35.8,170.1,0,18.2,(s),0.3,0.2,50.6,329.3,106,435.2
Nebraska,20.3,187.4,114.6,9.9,9.7,109.6,(s),8.3,252.1,0,4.3,113.6,1.2,0.1,105.6,684.1,230.5,914.6
Nevada,6.8,103.5,74.3,4.4,33.3,148.7,0,10.6,271.3,0,3.3,0,1.9,6.2,128.9,521.9,205.3,727.2
New Hampshire,0,29.3,46.7,17,2.8,87.2,1.1,5.5,160.3,0,18.1,(s),(s),1.1,37.7,246.4,78.3,324.7
New Jersey,0,504.4,168.7,23.7,164.7,471.5,48.3,92.7,969.5,0,9.3,0,0.5,20.4,259.4,"1,763.50",477.2,"2,240.70"
New Mexico,1.8,179,106.7,7.3,7.4,121.8,0,25.9,269.2,0,12.6,0,0.4,2.5,82.1,547.6,155.2,702.8
New York,9.7,965.7,360,38.2,191.8,696.2,24.3,61.7,"1,372.10",0.6,68.7,8.5,1.2,15,511.6,"2,953.10",901,"3,854.20"
North Carolina,12.8,259.7,198.1,36,18.4,566.6,0.7,53.4,873.1,0.1,88.2,(s),1,3.2,471.9,"1,710.10",906.1,"2,616.10"
North Dakota,96.1,126.3,108.3,11,5.5,52.7,0,18.3,195.9,0,2.1,24.4,1,(s),70.5,510.8,150.2,661
Ohio,114.1,870.9,301.2,35.5,54.4,610.4,2.4,135.7,"1,139.70",0,50.3,29.8,3.4,1.7,521.7,"2,732.00","1,023.90","3,755.90"
Oklahoma,7,507.7,191.5,12.6,39.7,236.6,2.3,75.9,558.7,0,29.2,0.1,(s),0.1,220.3,"1,323.20",383.3,"1,706.50"
Oregon,1.4,141.3,103.4,8.5,30.7,195.9,0.1,14.9,353.4,0,65.3,2.2,1.2,3.3,168.4,736.5,275.7,"1,012.20"
Pennsylvania,176.1,955.4,360.6,50.7,103.7,583.6,1.8,140.6,"1,240.90",0,94.5,5.8,2.2,4.7,508.3,"2,987.90",973.7,"3,961.60"
Rhode Island,0,45.9,26.9,3,4.7,46.8,(s),6.1,87.5,0,1.6,(s),0.1,0.9,25.9,161.8,35.6,197.4
South Carolina,5.3,158.8,133.9,9.8,13.3,340.1,16.1,38,551.3,(s),87,0,0.6,2.3,279.1,"1,084.40",587.4,"1,671.80"
South Dakota,3,85.7,46.1,7.6,2.6,57.6,0.1,5.5,119.5,0,3.6,55.9,1.9,(s),43.9,313.6,83.2,396.8
Tennessee,36.8,300.5,181.4,10.8,76.9,407.1,0.3,72.9,749.3,0,65.6,11.6,0.2,0.9,351.1,"1,516.10",739.8,"2,255.90"
Texas,10.8,"2,874.70","1,139.20","2,252.50",628.7,"1,749.90",159.5,"1,235.20","7,164.90",(s),76.4,19.9,2.5,7.1,"1,448.50","11,605.40","2,653.40","14,258.80"
Utah,8.7,190.3,90,5.1,40.1,145.2,(s),33.5,314,0,5.1,0,0.8,3.7,106.6,629.2,205.9,835.1
Vermont,0,14.2,27.3,10.9,1.5,34.5,0.2,4.8,79,0,18.2,0,(s),1.3,18.9,131.6,7.5,139.2
Virginia,43.7,293,199.3,22.9,57.7,492.6,1.9,29.9,804.4,(s),79.6,2.8,1.7,1.3,403.3,"1,629.70",771.6,"2,401.20"
Washington,1.4,251.5,164.5,17.8,128.5,350.7,64.8,102.9,829.2,0,109.9,0.1,1.1,1.5,307.1,"1,501.80",576.8,"2,078.70"
West Virginia,28.3,211.4,95.1,13.3,1.2,101,(s),14.5,225.2,6.3,12.3,0,(s),0.1,114.8,598.5,234.5,832.9
Wisconsin,20.1,433.5,154.7,37,10.8,324.9,1.1,39.4,568,1.3,90.3,30.1,0.6,1,242.1,"1,387.20",498.7,"1,885.90"
Wyoming,31.5,172.9,88.6,5.3,3.4,40.1,0,28.2,165.6,0,4.9,0,0.7,0.1,57.5,433.2,125.4,558.6
United States,"1,196.90","20,218.20","8,634.20","3,709.60","3,532.80","17,209.30",650.5,"4,344.70","38,081.00",12.5,"2,251.80",824.3,63.8,339.7,"13,170.70","76,073.00","25,010.70","101,083.60"
